"","depth","richness1d","richness2d"
"765",3996,4,2
"766",3997,4,4
"767",3999,4,3
"768",4000,4,4
"769",4003,4,3
"770",4004,4,1
"771",4005,4,4
"772",4006,4,1
"773",4007,4,4
"774",4008,4,1
"775",4009,4,4
"776",4010,4,4
"777",4011,4,3
"778",4012,4,2
"779",4014,4,4
"780",4016,4,3
"781",4017,4,4
"782",4018,4,3
"783",4019,4,3
"784",4021,4,4
"785",4025,4,4
"786",4026,4,4
"787",4027,4,2
"788",4028,4,4
"789",4029,4,1
"790",4030,4,2
"791",4031,4,4
"792",4032,4,4
"793",4033,4,4
"794",4034,4,2
