"","X1","lat","variable","value"
"386",104,31.5,"rich_2d",10
"387",105,32.5,"rich_2d",6
"388",106,33.5,"rich_2d",6
"389",107,34.5,"rich_2d",6
"390",108,35.5,"rich_2d",7
"391",109,36.5,"rich_2d",7
"392",110,37.5,"rich_2d",7
"393",111,38.5,"rich_2d",7
"394",112,39.5,"rich_2d",7
"395",113,40.5,"rich_2d",7
"396",114,41.5,"rich_2d",4
"397",115,42.5,"rich_2d",6
"398",116,43.5,"rich_2d",6
"399",117,44.5,"rich_2d",3
"400",118,45.5,"rich_2d",3
"401",119,46.5,"rich_2d",4
"402",120,47.5,"rich_2d",4
"403",121,48.5,"rich_2d",4
"404",122,49.5,"rich_2d",4
"405",123,50.5,"rich_2d",3
"406",124,51.5,"rich_2d",3
"407",125,52.5,"rich_2d",2
"408",126,53.5,"rich_2d",2
"409",127,54.5,"rich_2d",2
"410",128,55.5,"rich_2d",3
"411",129,56.5,"rich_2d",3
"412",130,57.5,"rich_2d",3
"413",131,58.5,"rich_2d",3
"414",132,59.5,"rich_2d",3
"415",133,60.5,"rich_2d",1
"416",134,61.5,"rich_2d",0
"417",135,62.5,"rich_2d",1
"418",136,63.5,"rich_2d",1
"419",137,64.5,"rich_2d",1
"420",138,65.5,"rich_2d",1
"421",139,66.5,"rich_2d",1
"422",140,67.5,"rich_2d",1
"423",141,68.5,"rich_2d",1
