"","X1","y","variable","value"
"343",75,-0.5,"richness_lat",30
"344",76,0.5,"richness_lat",30
"345",77,1.5,"richness_lat",31
"346",78,2.5,"richness_lat",32
"347",79,3.5,"richness_lat",32
"348",80,4.5,"richness_lat",32
"349",81,5.5,"richness_lat",32
"350",82,6.5,"richness_lat",32
"351",83,7.5,"richness_lat",32
"352",84,8.5,"richness_lat",32
"353",85,9.5,"richness_lat",33
"354",86,10.5,"richness_lat",32
"355",87,11.5,"richness_lat",32
"356",88,12.5,"richness_lat",32
"357",89,13.5,"richness_lat",32
"358",90,14.5,"richness_lat",31
"359",91,15.5,"richness_lat",31
"360",92,16.5,"richness_lat",30
"361",93,17.5,"richness_lat",30
"362",94,18.5,"richness_lat",30
"363",95,19.5,"richness_lat",30
"364",96,20.5,"richness_lat",31
"365",97,21.5,"richness_lat",30
"366",98,22.5,"richness_lat",29
"367",99,23.5,"richness_lat",29
"368",100,24.5,"richness_lat",29
"369",101,25.5,"richness_lat",28
"370",102,26.5,"richness_lat",21
"371",103,27.5,"richness_lat",21
"372",104,28.5,"richness_lat",21
"373",105,29.5,"richness_lat",20
"374",106,30.5,"richness_lat",18
"375",107,31.5,"richness_lat",16
"376",108,32.5,"richness_lat",16
"377",109,33.5,"richness_lat",12
"378",110,34.5,"richness_lat",12
"379",111,35.5,"richness_lat",6
"380",112,36.5,"richness_lat",5
"381",113,37.5,"richness_lat",5
"382",114,38.5,"richness_lat",4
"383",115,39.5,"richness_lat",5
"384",116,40.5,"richness_lat",4
"385",117,41.5,"richness_lat",4
"386",118,42.5,"richness_lat",4
"387",119,43.5,"richness_lat",5
"388",120,44.5,"richness_lat",5
"389",121,45.5,"richness_lat",5
"390",122,46.5,"richness_lat",5
"391",123,47.5,"richness_lat",5
"392",124,48.5,"richness_lat",5
"393",125,49.5,"richness_lat",5
"394",126,50.5,"richness_lat",5
"395",127,51.5,"richness_lat",5
"396",128,52.5,"richness_lat",5
"397",129,53.5,"richness_lat",5
"398",130,54.5,"richness_lat",5
"399",131,55.5,"richness_lat",5
"400",132,56.5,"richness_lat",3
"401",133,57.5,"richness_lat",2
"402",134,58.5,"richness_lat",2
