target_fid,rich_2d,x,y,depth
975,1,92.5,-61.5,4168.5
976,1,93.5,-61.5,4120.25
977,1,94.5,-61.5,4108
978,1,95.5,-61.5,4097
979,1,96.5,-61.5,4184
980,1,97.5,-61.5,4441.25
981,1,98.5,-61.5,4533.5
982,1,99.5,-61.5,4553.75
983,1,100.5,-61.5,4864.5
984,1,101.5,-61.5,4492
985,1,102.5,-61.5,4190
986,1,103.5,-61.5,4514.75
987,1,104.5,-61.5,4370
988,1,105.5,-61.5,4343
989,1,106.5,-61.5,4343.25
990,1,107.5,-61.5,4332
991,1,108.5,-61.5,3996
992,1,109.5,-61.5,4010.75
993,1,110.5,-61.5,4119.25
994,1,111.5,-61.5,4154.75
995,1,112.5,-61.5,4212.75
996,1,113.5,-61.5,4263.25
997,1,114.5,-61.5,4296.75
998,1,115.5,-61.5,4309.5
999,1,116.5,-61.5,4301
1000,1,117.5,-61.5,4257.25
1001,1,118.5,-61.5,4224
1002,1,119.5,-61.5,4205
1003,1,120.5,-61.5,4211
1004,1,121.5,-61.5,4228.25
1005,1,122.5,-61.5,4290
1006,1,123.5,-61.5,4321.5
1007,1,124.5,-61.5,4322.75
1008,1,125.5,-61.5,4334.25
1009,1,126.5,-61.5,4392
1010,1,127.5,-61.5,4374
1011,1,128.5,-61.5,4422
1012,1,129.5,-61.5,4494
1013,1,130.5,-61.5,4546.75
1035,1,23.5,-60.5,5327.5
1036,1,24.5,-60.5,4960.75
1037,1,25.5,-60.5,5271.5
1038,1,26.5,-60.5,5294.25
1039,1,27.5,-60.5,5264.75
1040,1,28.5,-60.5,5259
1041,1,29.5,-60.5,5290.25
1042,1,30.5,-60.5,5237.25
1043,1,31.5,-60.5,5289.75
1044,1,32.5,-60.5,5279
1045,1,33.5,-60.5,5284.75
1046,1,34.5,-60.5,5323
1048,1,36.5,-60.5,5289
1049,1,37.5,-60.5,5286.25
1050,1,38.5,-60.5,5278.5
1051,1,39.5,-60.5,5282.25
1052,1,40.5,-60.5,5293.5
1053,1,41.5,-60.5,5307
1054,1,42.5,-60.5,5316.25
1055,1,43.5,-60.5,5318
1062,1,50.5,-60.5,5328.25
1065,1,53.5,-60.5,5291
1066,1,54.5,-60.5,5257.5
1067,1,55.5,-60.5,5081.5
1068,1,56.5,-60.5,5060
1069,1,57.5,-60.5,5046.75
1070,1,58.5,-60.5,5070.25
1071,1,59.5,-60.5,4916.5
1072,1,60.5,-60.5,4757.75
1073,1,61.5,-60.5,4708.25
1074,1,62.5,-60.5,4653
1075,1,63.5,-60.5,4676
1076,1,64.5,-60.5,4677.75
1077,1,65.5,-60.5,4617
1078,1,66.5,-60.5,4524.25
1079,1,67.5,-60.5,4434.25
1080,1,68.5,-60.5,4410.75
1081,1,69.5,-60.5,4307.5
1082,1,70.5,-60.5,4302
1083,1,71.5,-60.5,4245.75
1084,1,72.5,-60.5,3580
1085,1,73.5,-60.5,3397.75
1086,1,74.5,-60.5,3640.5
1087,1,75.5,-60.5,2218.249756
1088,1,76.5,-60.5,3102.5
1089,1,77.5,-60.5,3373.75
1090,1,78.5,-60.5,2837
1091,1,79.5,-60.5,2275.75
1092,1,80.5,-60.5,1902.75
1093,1,81.5,-60.5,1606.25
1094,1,82.5,-60.5,1608.249878
1095,1,83.5,-60.5,1307.5
1096,1,84.5,-60.5,2332
1097,1,85.5,-60.5,3488.5
1098,1,86.5,-60.5,4122
1099,1,87.5,-60.5,4395.25
1100,1,88.5,-60.5,4357.75
