rich_geog,x_exact,y_exact,depth_geog
1,94.5,-63.5,2979.75
1,95.5,-63.5,3077.75
1,96.5,-63.5,2400
1,97.5,-63.5,2327.25
1,98.5,-63.5,1636.5
1,99.5,-63.5,1688.999878
1,100.5,-63.5,1400.250122
1,101.5,-63.5,1045.249878
1,102.5,-63.5,1497.499878
1,103.5,-63.5,3106
1,104.5,-63.5,3643.75
1,105.5,-63.5,3777
1,106.5,-63.5,3243.25
1,107.5,-63.5,3103
1,108.5,-63.5,3669
1,109.5,-63.5,3802.75
1,110.5,-63.5,3696.25
1,111.5,-63.5,3470.25
1,112.5,-63.5,3285
1,113.5,-63.5,3258
1,114.5,-63.5,2678.5
1,115.5,-63.5,2691.75
1,116.5,-63.5,2821
1,117.5,-63.5,3180.5
1,118.5,-63.5,3505
1,119.5,-63.5,3578.5
1,120.5,-63.5,3658.5
1,121.5,-63.5,3747.5
1,122.5,-63.5,3834
1,123.5,-63.5,3854.75
1,124.5,-63.5,3804
1,125.5,-63.5,3771.5
1,126.5,-63.5,3719.5
1,127.5,-63.5,3913
1,128.5,-63.5,4003.25
NA,129.5,-63.5,4161.25
NA,130.5,-63.5,4025
NA,131.5,-63.5,4167.25
NA,132.5,-63.5,4102
NA,133.5,-63.5,3811.5
NA,134.5,-63.5,3938
NA,135.5,-63.5,3558.75
NA,136.5,-63.5,3718
NA,137.5,-63.5,3619
NA,138.5,-63.5,3861.75
NA,139.5,-63.5,3814.25
NA,140.5,-63.5,3670.5
NA,141.5,-63.5,3931
NA,142.5,-63.5,3845.75
NA,143.5,-63.5,3810
NA,144.5,-63.5,3878.5
NA,145.5,-63.5,3879.25
NA,146.5,-63.5,3834
NA,147.5,-63.5,3869.5
NA,148.5,-63.5,3797
NA,20.5,-62.5,4999.25
NA,21.5,-62.5,4963.25
1,22.5,-62.5,5010.5
1,23.5,-62.5,5041.5
1,24.5,-62.5,5139
1,25.5,-62.5,5103
1,26.5,-62.5,5142.25
1,27.5,-62.5,5164
1,28.5,-62.5,5182.5
1,29.5,-62.5,5200
1,30.5,-62.5,5149.25
1,31.5,-62.5,5113.25
1,32.5,-62.5,5131.5
1,33.5,-62.5,5184.25
1,34.5,-62.5,5162.5
1,35.5,-62.5,5174
1,36.5,-62.5,5136.75
1,37.5,-62.5,5134
1,38.5,-62.5,5137
1,39.5,-62.5,5111.25
1,40.5,-62.5,5072
1,41.5,-62.5,5080
1,42.5,-62.5,5052
1,43.5,-62.5,4987.25
1,44.5,-62.5,4902.75
1,45.5,-62.5,4730.5
1,46.5,-62.5,4961.25
1,47.5,-62.5,4814
1,48.5,-62.5,5029.5
1,49.5,-62.5,5060
1,50.5,-62.5,5062
1,51.5,-62.5,5118.5
1,52.5,-62.5,5064.25
1,53.5,-62.5,5078.75
1,54.5,-62.5,5054.75
1,55.5,-62.5,4884.75
1,56.5,-62.5,4835
1,57.5,-62.5,4744
1,58.5,-62.5,4696
1,59.5,-62.5,4612.25
1,60.5,-62.5,4632.25
1,61.5,-62.5,4603.25
1,62.5,-62.5,4523.25
1,63.5,-62.5,4328.5
1,64.5,-62.5,4341
1,65.5,-62.5,4356
1,66.5,-62.5,4356.5
1,67.5,-62.5,4342
1,68.5,-62.5,4242
1,69.5,-62.5,4123.75
1,70.5,-62.5,4052
1,71.5,-62.5,4014.25
1,72.5,-62.5,3961.75
1,73.5,-62.5,3943
1,74.5,-62.5,3902
1,75.5,-62.5,3894
1,76.5,-62.5,3909.25
1,77.5,-62.5,3896.5
1,78.5,-62.5,3791.25
1,79.5,-62.5,3031.75
1,80.5,-62.5,2477.75
1,81.5,-62.5,1846.75
1,82.5,-62.5,2281.25
1,83.5,-62.5,2495.5
1,84.5,-62.5,2943.25
1,85.5,-62.5,3350.25
1,86.5,-62.5,3720.75
1,87.5,-62.5,3762.5
1,88.5,-62.5,3549.499756
1,89.5,-62.5,3900.75
1,90.5,-62.5,3874
1,91.5,-62.5,3825.25
1,92.5,-62.5,3873.25
1,93.5,-62.5,3765.5
1,94.5,-62.5,3544
1,95.5,-62.5,3727.75
1,96.5,-62.5,3716.5
1,97.5,-62.5,3934.25
1,98.5,-62.5,4002.25
1,99.5,-62.5,4108.75
1,100.5,-62.5,4306.25
1,101.5,-62.5,4290
1,102.5,-62.5,4138.5
1,103.5,-62.5,4162
1,104.5,-62.5,4123
1,105.5,-62.5,4170.75
1,106.5,-62.5,4077.75
1,107.5,-62.5,4011.75
1,108.5,-62.5,3858.5
1,109.5,-62.5,3781
1,110.5,-62.5,3932.5
1,111.5,-62.5,4007.25
1,112.5,-62.5,3944.5
1,113.5,-62.5,4012.75
1,114.5,-62.5,3992.75
1,115.5,-62.5,3961.25
1,116.5,-62.5,3928
1,117.5,-62.5,3981.75
1,118.5,-62.5,4023
1,119.5,-62.5,4066.5
1,120.5,-62.5,3961
1,121.5,-62.5,4014
1,122.5,-62.5,4124
1,123.5,-62.5,4139
1,124.5,-62.5,4188.75
1,125.5,-62.5,4232
