TARGET_FID,richness,depth,x,y
-5979,1,4319.001465,144.5,19.5
-5978,1,4272.25,143.5,19.5
-5977,2,2542.250732,142.5,19.5
-5977,2,2542.250732,142.5,19.5
-5976,1,4469.5,141.5,19.5
-5975,1,4672.25,140.5,19.5
-5974,1,5037.250977,139.5,19.5
-5973,1,4508.75,138.5,19.5
-5972,1,5198.749512,137.5,19.5
-5971,1,4784.75,136.5,19.5
-5958,1,204.5004272,121.5,19.5
-5953,1,4914.75,178.5,18.5
-5952,1,4914.75,178.5,18.5
-5950,3,4493,177.5,18.5
-5950,3,4493,177.5,18.5
-5950,3,4493,177.5,18.5
-5949,4,4493,177.5,18.5
-5949,4,4204.499512,176.5,18.5
-5949,4,4204.499512,176.5,18.5
-5949,4,4204.499512,176.5,18.5
-5948,5,2679,175.5,18.5
-5948,5,2679,175.5,18.5
-5948,5,4204.499512,176.5,18.5
-5948,5,2679,175.5,18.5
-5948,5,2679,175.5,18.5
-5947,5,3540.500244,174.5,18.5
-5947,5,2679,175.5,18.5
-5947,5,3540.500244,174.5,18.5
-5947,5,3540.500244,174.5,18.5
-5947,5,3540.500244,174.5,18.5
-5946,4,4070,173.5,18.5
-5946,4,4070,173.5,18.5
-5946,4,4070,173.5,18.5
-5946,4,4070,173.5,18.5
-5945,3,3827.75,172.5,18.5
-5945,3,3827.75,172.5,18.5
-5945,3,3827.75,172.5,18.5
-5944,6,1370.25,171.5,18.5
-5944,6,1370.25,171.5,18.5
-5944,6,1370.25,171.5,18.5
-5944,6,1370.25,171.5,18.5
-5944,6,3827.75,172.5,18.5
-5944,6,1370.25,171.5,18.5
-5943,4,1370.25,171.5,18.5
-5943,4,3178.250244,170.5,18.5
-5943,4,3178.250244,170.5,18.5
-5943,4,3178.250244,170.5,18.5
-5942,3,3178.250244,170.5,18.5
-5942,3,5286.25,169.5,18.5
-5942,3,5286.25,169.5,18.5
-5941,1,5200.25,168.5,18.5
-5940,3,4657.750488,167.5,18.5
-5940,3,4657.750488,167.5,18.5
-5940,3,4657.750488,167.5,18.5
-5939,3,4880.000488,166.5,18.5
-5939,3,4880.000488,166.5,18.5
-5939,3,4880.000488,166.5,18.5
-5938,1,5238.249512,165.5,18.5
-5936,2,5082.25,163.5,18.5
-5936,2,5082.25,163.5,18.5
-5934,3,4323.500488,161.5,18.5
-5934,3,4323.500488,161.5,18.5
-5934,3,4323.500488,161.5,18.5
-5924,1,5178.25,151.5,18.5
-5920,2,3833.999268,147.5,18.5
-5920,2,3833.999268,147.5,18.5
-5919,2,3699.5,146.5,18.5
-5919,2,3699.5,146.5,18.5
-5918,1,3346.5,145.5,18.5
-5917,1,3296.249512,144.5,18.5
-5916,1,3460.999023,143.5,18.5
-5915,1,3872.75,142.5,18.5
-5914,1,4608,141.5,18.5
-5913,1,4933.250488,140.5,18.5
-5912,1,5105.249512,139.5,18.5
-5911,1,5196.749512,138.5,18.5
-5910,1,5129.5,137.5,18.5
-5909,1,4855.500488,136.5,18.5
-5908,1,3800.250244,135.5,18.5
-5896,1,142.4997711,121.5,18.5
-5892,1,4137,178.5,17.5
-5891,1,4137,178.5,17.5
-5888,3,4324,177.5,17.5
-5888,3,4324,177.5,17.5
-5888,3,4324,177.5,17.5
-5887,4,3473.250244,176.5,17.5
-5887,4,3473.250244,176.5,17.5
-5887,4,4324,177.5,17.5
-5887,4,3473.250244,176.5,17.5
-5886,4,3916.499756,175.5,17.5
-5886,4,3916.499756,175.5,17.5
-5886,4,3473.250244,176.5,17.5
-5886,4,3916.499756,175.5,17.5
-5885,4,3790.75,174.5,17.5
-5885,4,3790.75,174.5,17.5
-5885,4,3916.499756,175.5,17.5
-5885,4,3790.75,174.5,17.5
-5884,4,3790.75,174.5,17.5
-5884,4,4517.750488,173.5,17.5
