"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"190",578,1,82.5,-64.5,3538.75,1,82.5,-64.5,3538.75
"191",579,1,83.5,-64.5,3517.75,1,83.5,-64.5,3517.75
"192",580,1,84.5,-64.5,3570.75,1,84.5,-64.5,3570.75
"193",581,1,85.5,-64.5,3523,1,85.5,-64.5,3523
"194",582,1,86.5,-64.5,3507.75,1,86.5,-64.5,3507.75
"195",583,1,87.5,-64.5,3387,1,87.5,-64.5,3387
"196",584,1,88.5,-64.5,3672,1,88.5,-64.5,3672
"197",585,1,89.5,-64.5,3721,1,89.5,-64.5,3721
"198",586,1,90.5,-64.5,3460.5,1,90.5,-64.5,3460.5
"199",587,1,91.5,-64.5,3000,1,91.5,-64.5,3000
"200",588,1,92.5,-64.5,2977.75,1,92.5,-64.5,2977.75
"201",589,1,93.5,-64.5,2731.5,1,93.5,-64.5,2731.5
"202",590,1,94.5,-64.5,2115.75,1,94.5,-64.5,2115.75
"203",595,1,99.5,-64.5,626.5,1,99.5,-64.5,626.5
"204",598,1,102.5,-64.5,1551.75,1,102.5,-64.5,1551.75
"205",599,1,103.5,-64.5,822.250061035,1,103.5,-64.5,822.250061035
"206",600,1,104.5,-64.5,2072.74951172,1,104.5,-64.5,2072.74951172
"207",601,1,105.5,-64.5,2005.25012207,1,105.5,-64.5,2005.25012207
"208",602,1,106.5,-64.5,2619.25,1,106.5,-64.5,2619.25
"209",603,1,107.5,-64.5,3216.75,1,107.5,-64.5,3216.75
"210",604,1,108.5,-64.5,2988.75,1,108.5,-64.5,2988.75
"211",605,1,109.5,-64.5,3146,1,109.5,-64.5,3146
"212",606,1,110.5,-64.5,2721.25,1,110.5,-64.5,2721.25
"213",607,1,111.5,-64.5,2764.75,1,111.5,-64.5,2764.75
"214",608,1,112.5,-64.5,2291.75,1,112.5,-64.5,2291.75
"215",609,1,113.5,-64.5,2396.99975586,1,113.5,-64.5,2396.99975586
"216",610,1,114.5,-64.5,1861,1,114.5,-64.5,1861
"217",611,1,115.5,-64.5,2116,1,115.5,-64.5,2116
"218",612,1,116.5,-64.5,2107.25,1,116.5,-64.5,2107.25
"219",613,1,117.5,-64.5,2673.75,1,117.5,-64.5,2673.75
"220",614,1,118.5,-64.5,3148,1,118.5,-64.5,3148
"221",615,1,119.5,-64.5,3184.5,1,119.5,-64.5,3184.5
"222",616,1,120.5,-64.5,3355.75,1,120.5,-64.5,3355.75
"223",617,1,121.5,-64.5,2983.5,1,121.5,-64.5,2983.5
"224",618,1,122.5,-64.5,2621.5,1,122.5,-64.5,2621.5
"225",619,1,123.5,-64.5,2914.25,1,123.5,-64.5,2914.25
"226",620,1,124.5,-64.5,2499.25,1,124.5,-64.5,2499.25
"227",621,1,125.5,-64.5,3353.25,1,125.5,-64.5,3353.25
"228",622,1,126.5,-64.5,2920.25,1,126.5,-64.5,2920.25
"229",647,1,22.5,-63.5,4962.75,1,22.5,-63.5,4962.75
"230",648,1,23.5,-63.5,5005.75,1,23.5,-63.5,5005.75
"231",649,1,24.5,-63.5,4975.5,1,24.5,-63.5,4975.5
"232",650,1,25.5,-63.5,5057.75,1,25.5,-63.5,5057.75
"233",651,1,26.5,-63.5,5092,1,26.5,-63.5,5092
"234",652,1,27.5,-63.5,5135,1,27.5,-63.5,5135
"235",653,1,28.5,-63.5,5122,1,28.5,-63.5,5122
"236",654,1,29.5,-63.5,5096,1,29.5,-63.5,5096
"237",655,1,30.5,-63.5,5123.75,1,30.5,-63.5,5123.75
"238",656,1,31.5,-63.5,5087.5,1,31.5,-63.5,5087.5
"239",657,1,32.5,-63.5,5044.75,1,32.5,-63.5,5044.75
"240",658,1,33.5,-63.5,5069,1,33.5,-63.5,5069
"241",659,1,34.5,-63.5,5139,1,34.5,-63.5,5139
"242",660,1,35.5,-63.5,5045.75,1,35.5,-63.5,5045.75
"243",661,1,36.5,-63.5,5098,1,36.5,-63.5,5098
"244",662,1,37.5,-63.5,5036.25,1,37.5,-63.5,5036.25
"245",663,1,38.5,-63.5,4997,1,38.5,-63.5,4997
"246",664,1,39.5,-63.5,5003.5,1,39.5,-63.5,5003.5
"247",665,1,40.5,-63.5,4866.5,1,40.5,-63.5,4866.5
"248",666,1,41.5,-63.5,4798,1,41.5,-63.5,4798
"249",667,1,42.5,-63.5,4829.75,1,42.5,-63.5,4829.75
"250",668,1,43.5,-63.5,4881,1,43.5,-63.5,4881
"251",669,1,44.5,-63.5,4760.25,1,44.5,-63.5,4760.25
"252",670,1,45.5,-63.5,4460.5,1,45.5,-63.5,4460.5
"253",671,1,46.5,-63.5,4315.25,1,46.5,-63.5,4315.25
"254",672,1,47.5,-63.5,4579.25,1,47.5,-63.5,4579.25
"255",673,1,48.5,-63.5,4765.25,1,48.5,-63.5,4765.25
"256",674,1,49.5,-63.5,4752,1,49.5,-63.5,4752
"257",675,1,50.5,-63.5,4723.25,1,50.5,-63.5,4723.25
"258",676,1,51.5,-63.5,4780.5,1,51.5,-63.5,4780.5
"259",677,1,52.5,-63.5,4616.5,1,52.5,-63.5,4616.5
"260",678,1,53.5,-63.5,4645.25,1,53.5,-63.5,4645.25
"261",679,1,54.5,-63.5,4691.5,1,54.5,-63.5,4691.5
