"","depth","richness","x_exact","y_exact","y_exact_abs","ocean"
"8725",2691,0,20.5,34.5,34.5,"atlantic"
"8726",2689,0,23.5,34.5,34.5,"atlantic"
"8727",2687,0,-37.5,58.5,58.5,"atlantic"
"8728",2679,0,-0.5,36.5,36.5,"atlantic"
"8729",2676,0,-26.5,58.5,58.5,"atlantic"
"8730",2674,0,-0.5,64.5,64.5,"atlantic"
"8731",2672,0,6.5,39.5,39.5,"atlantic"
"8732",2672,0,-37.5,61.5,61.5,"atlantic"
"8733",2670,0,-58.5,59.5,59.5,"atlantic"
"8734",2667,0,-39.5,60.5,60.5,"atlantic"
"8735",2665,0,31.5,35.5,35.5,"atlantic"
"8736",2662,0,18.5,33.5,33.5,"atlantic"
"8737",2662,0,-32.5,61.5,61.5,"atlantic"
"8738",2656,0,-60.5,-58.5,58.5,"atlantic"
"8739",2655.000188,0,20.5,-52.5,52.5,"atlantic"
"8740",2652,0,0.5,68.5,68.5,"atlantic"
"8741",2650,0,-3.5,-69.5,69.5,"atlantic"
"8742",2650,0,-35.5,58.5,58.5,"atlantic"
"8743",2647,0,-2.5,63.5,63.5,"atlantic"
"8744",2647,0,3.5,68.5,68.5,"atlantic"
"8745",2646,0,8.5,68.5,68.5,"atlantic"
"8746",2643,0,-66.5,-60.5,60.5,"atlantic"
"8747",2642,0,11.5,40.5,40.5,"atlantic"
"8748",2641,0,6.5,42.5,42.5,"atlantic"
"8749",2637,0,-46.5,58.5,58.5,"atlantic"
"8750",2629,0,-37.5,56.5,56.5,"atlantic"
"8751",2627,0,27.5,34.5,34.5,"atlantic"
"8752",2626,0,4.5,40.5,40.5,"atlantic"
"8753",2620,0,-53.5,-66.5,66.5,"atlantic"
"8754",2619,0,-42.5,58.5,58.5,"atlantic"
"8755",2616,0,3.5,-69.5,69.5,"atlantic"
"8756",2616,0,-34.5,58.5,58.5,"atlantic"
"8757",2615,0,6.5,68.5,68.5,"atlantic"
"8758",2612,0,-50.5,-63.5,63.5,"atlantic"
"8759",2611,0,-58.5,60.5,60.5,"atlantic"
"8760",2609,0,-52.5,-62.5,62.5,"atlantic"
"8761",2597,0,-15.5,54.5,54.5,"atlantic"
"8762",2596,0,-56.5,56.5,56.5,"atlantic"
"8763",2592,0,8.5,43.5,43.5,"atlantic"
"8764",2591,0,30.5,33.5,33.5,"atlantic"
"8765",2591,0,0.5,64.5,64.5,"atlantic"
"8766",2589,0,-21.5,60.5,60.5,"atlantic"
"8767",2584,0,-53.5,62.5,62.5,"atlantic"
"8768",2582,0,3.5,38.5,38.5,"atlantic"
"8769",2578,0,-53.5,-68.5,68.5,"atlantic"
"8770",2578,0,4.5,41.5,41.5,"atlantic"
"8771",2577,0,-6.5,68.5,68.5,"atlantic"
"8772",2572,0,-95.5,20.5,20.5,"atlantic"
"8773",2571,0,-40.5,59.5,59.5,"atlantic"
"8774",2571,0,-20.5,60.5,60.5,"atlantic"
"8775",2570,0,-88.5,26.5,26.5,"atlantic"
"8776",2569,0,-17.5,60.5,60.5,"atlantic"
"8777",2566,0,-22.5,59.5,59.5,"atlantic"
"8778",2554,0,-56.5,62.5,62.5,"atlantic"
"8779",2554,0,-52.5,62.5,62.5,"atlantic"
"8780",2542,0,-57.5,57.5,57.5,"atlantic"
"8781",2542,0,-18.5,60.5,60.5,"atlantic"
"8782",2541,0,16.5,37.5,37.5,"atlantic"
"8783",2536,0,-52.5,-64.5,64.5,"atlantic"
"8784",2534,0,-46.5,-71.5,71.5,"atlantic"
"8785",2530,0,-87.5,16.5,16.5,"atlantic"
"8786",2526,0,-19.5,60.5,60.5,"atlantic"
"8787",2524,0,-31.5,62.5,62.5,"atlantic"
"8788",2522,0,-36.5,57.5,57.5,"atlantic"
"8789",2519,0,-11.5,56.5,56.5,"atlantic"
"8790",2517,0,-6.5,65.5,65.5,"atlantic"
"8791",2513,0,-36.5,62.5,62.5,"atlantic"
"8792",2511,0,-35.5,57.5,57.5,"atlantic"
"8793",2509,0,5.5,41.5,41.5,"atlantic"
"8794",2506,0,-66.5,-56.5,56.5,"atlantic"
"8795",2506,0,-4.5,66.5,66.5,"atlantic"
"8796",2502,0,4.5,38.5,38.5,"atlantic"
"8797",2498,0,-70.5,39.5,39.5,"atlantic"
"8798",2497,0,-54.5,62.5,62.5,"atlantic"
"8799",2492,0,34.5,42.5,42.5,"atlantic"
"8800",2492,0,-34.5,63.5,63.5,"atlantic"
"8801",2489,0,-55.5,62.5,62.5,"atlantic"
"8802",2487,0,-16.5,60.5,60.5,"atlantic"
"8803",2484,0,-10.5,55.5,55.5,"atlantic"
"8804",2481,0,-4.5,63.5,63.5,"atlantic"
"8805",2480,0,-53.5,-60.5,60.5,"atlantic"
"8806",2477,0,-49.5,51.5,51.5,"atlantic"
"8807",2477,0,-32.5,60.5,60.5,"atlantic"
"8808",2477,0,-58.5,61.5,61.5,"atlantic"
"8809",2477,0,-31.5,64.5,64.5,"atlantic"
"8810",2466,0,-47.5,-71.5,71.5,"atlantic"
"8811",2466,0,-45.5,58.5,58.5,"atlantic"
"8812",2466,0,-38.5,61.5,61.5,"atlantic"
"8813",2461,0,-66.5,40.5,40.5,"atlantic"
"8814",2459,0,-36.5,58.5,58.5,"atlantic"
"8815",2450,0,-73.5,37.5,37.5,"atlantic"
"8816",2445,0,28.5,34.5,34.5,"atlantic"
"8817",2438,0,-25.5,59.5,59.5,"atlantic"
"8818",2432,0,-65.5,-55.5,55.5,"atlantic"
"8819",2431,0,26.5,33.5,33.5,"atlantic"
"8820",2428,0,25.5,33.5,33.5,"atlantic"
"8821",2428,0,30.5,34.5,34.5,"atlantic"
"8822",2426,0,9.5,-69.5,69.5,"atlantic"
"8823",2424,0,-23.5,59.5,59.5,"atlantic"
"8824",2420,0,1.5,66.5,66.5,"atlantic"
"8825",2419,0,-30.5,63.5,63.5,"atlantic"
"8826",2413,0,-12.5,56.5,56.5,"atlantic"
"8827",2407,0,-53.5,-70.5,70.5,"atlantic"
"8828",2407,0,-52.5,-65.5,65.5,"atlantic"
"8829",2405,0,-13.5,-70.5,70.5,"atlantic"
"8830",2400,0,-51.5,53.5,53.5,"atlantic"
"8831",2400,0,-57.5,62.5,62.5,"atlantic"
"8832",2393,0,-30.5,64.5,64.5,"atlantic"
"8833",2389,0,-34.5,59.5,59.5,"atlantic"
"8834",2387,0,4.5,-69.5,69.5,"atlantic"
"8835",2384,0,-54.5,55.5,55.5,"atlantic"
"8836",2383,0,-35.5,63.5,63.5,"atlantic"
"8837",2379,0,-16.5,61.5,61.5,"atlantic"
"8838",2376,0,-39.5,61.5,61.5,"atlantic"
"8839",2369,0,31.5,34.5,34.5,"atlantic"
"8840",2367,0,-22.5,60.5,60.5,"atlantic"
"8841",2359,0,4.5,68.5,68.5,"atlantic"
"8842",2358,0,-31.5,60.5,60.5,"atlantic"
"8843",2355,0,-58.5,58.5,58.5,"atlantic"
"8844",2354,0,-17.5,61.5,61.5,"atlantic"
"8845",2352,0,-18.5,61.5,61.5,"atlantic"
"8846",2340,0,-40.5,60.5,60.5,"atlantic"
"8847",2338,0,-59.5,60.5,60.5,"atlantic"
"8848",2337,0,32.5,34.5,34.5,"atlantic"
"8849",2336,0,-24.5,59.5,59.5,"atlantic"
"8850",2331,0,-50.5,52.5,52.5,"atlantic"
"8851",2329,0,37.5,43.5,43.5,"atlantic"
"8852",2321,0,5.5,68.5,68.5,"atlantic"
"8853",2318,0,-16.5,54.5,54.5,"atlantic"
"8854",2316,0,-30.5,62.5,62.5,"atlantic"
"8855",2315,0,-6.5,64.5,64.5,"atlantic"
"8856",2312,0,-43.5,58.5,58.5,"atlantic"
"8857",2310,0,36.5,42.5,42.5,"atlantic"
"8858",2309,0,-16.5,-71.5,71.5,"atlantic"
"8859",2308,0,-34.5,60.5,60.5,"atlantic"
"8860",2299,0,2.5,-69.5,69.5,"atlantic"
"8861",2299,0,-19.5,61.5,61.5,"atlantic"
"8862",2298,0,2.5,64.5,64.5,"atlantic"
"8863",2291,0,-33.5,59.5,59.5,"atlantic"
"8864",2282,0,-10.5,57.5,57.5,"atlantic"
"8865",2279,0,31.5,33.5,33.5,"atlantic"
"8866",2278,0,29.5,32.5,32.5,"atlantic"
"8867",2273,0,-15.5,61.5,61.5,"atlantic"
"8868",2271,0,-38.5,62.5,62.5,"atlantic"
"8869",2266,0,-33.5,58.5,58.5,"atlantic"
"8870",2265,0,34.5,43.5,43.5,"atlantic"
"8871",2236,0,-51.5,-61.5,61.5,"atlantic"
"8872",2236,0,-26.5,59.5,59.5,"atlantic"
"8873",2234,0,-48.5,-71.5,71.5,"atlantic"
"8874",2233,0,-31.5,61.5,61.5,"atlantic"
"8875",2228,0,-1.5,63.5,63.5,"atlantic"
"8876",2226,0,-37.5,62.5,62.5,"atlantic"
"8877",2224,0,-14.5,55.5,55.5,"atlantic"
"8878",2224,0,-59.5,61.5,61.5,"atlantic"
"8879",2215,0,-32.5,64.5,64.5,"atlantic"
"8880",2214,0,12.5,-68.5,68.5,"atlantic"
"8881",2209,0,32.5,42.5,42.5,"atlantic"
"8882",2198,0,-41.5,59.5,59.5,"atlantic"
"8883",2194,0,-20.5,61.5,61.5,"atlantic"
"8884",2187,0,-47.5,-61.5,61.5,"atlantic"
"8885",2181,0,-54.5,-67.5,67.5,"atlantic"
"8886",2178,0,33.5,42.5,42.5,"atlantic"
"8887",2172,0,-12.5,-70.5,70.5,"atlantic"
"8888",2167,0,30.5,42.5,42.5,"atlantic"
"8889",2153,0,5.5,-69.5,69.5,"atlantic"
"8890",2148,0,-52.5,54.5,54.5,"atlantic"
"8891",2146,0,-25.5,60.5,60.5,"atlantic"
"8892",2137,0,31.5,42.5,42.5,"atlantic"
"8893",2134,0,-58.5,-53.5,53.5,"atlantic"
"8894",2132,0,-30.5,61.5,61.5,"atlantic"
"8895",2130,0,38.5,43.5,43.5,"atlantic"
"8896",2127,0,-13.5,56.5,56.5,"atlantic"
"8897",2120,0,37.5,42.5,42.5,"atlantic"
"8898",2118,0,-54.5,-70.5,70.5,"atlantic"
"8899",2116,0,-15.5,60.5,60.5,"atlantic"
"8900",2115,0,-58.5,62.5,62.5,"atlantic"
"8901",2111,0,35.5,43.5,43.5,"atlantic"
"8902",2102,0,39.5,41.5,41.5,"atlantic"
"8903",2101,0,-46.5,59.5,59.5,"atlantic"
"8904",2101,0,-24.5,60.5,60.5,"atlantic"
"8905",2101,0,3.5,64.5,64.5,"atlantic"
"8906",2096,0,-0.5,63.5,63.5,"atlantic"
"8907",2088,0,-54.5,-68.5,68.5,"atlantic"
"8908",2075,0,-32.5,59.5,59.5,"atlantic"
"8909",2073,0,-10.5,68.5,68.5,"atlantic"
"8910",2060,0,-58.5,57.5,57.5,"atlantic"
"8911",2057,0,32.5,43.5,43.5,"atlantic"
"8912",2056,0,-54.5,-69.5,69.5,"atlantic"
"8913",2055,0,-50.5,-71.5,71.5,"atlantic"
"8914",2055,0,-0.5,68.5,68.5,"atlantic"
"8915",2047,0,-15.5,62.5,62.5,"atlantic"
"8916",2039,0,19.5,-69.5,69.5,"atlantic"
"8917",2032,0,-16.5,62.5,62.5,"atlantic"
"8918",2030,0,-49.5,-71.5,71.5,"atlantic"
"8919",2029,0,38.5,42.5,42.5,"atlantic"
"8920",2026,0,0.5,-69.5,69.5,"atlantic"
"8921",2025,0,-11.5,68.5,68.5,"atlantic"
