"","depth","richness1d","richness2d"
"797",4969,2,2
"798",4972,2,1
"799",4973,2,1
"800",4976,2,2
"801",4978,2,1
"802",4979,2,1
"803",4980,2,1
"804",4987,2,2
"805",4989,2,1
"806",4992,2,1
"807",4993,2,1
"808",4994,2,1
"809",4997,2,1
"810",4999,2,1
"811",5001,2,1
"812",5003,2,2
"813",5009,2,1
"814",5013,2,1
"815",5015,2,1
"816",5017,2,1
"817",5018,2,1
"818",5019,2,1
"819",5020,2,1
"820",5022,2,1
"821",5024,2,1
"822",5030,2,1
"823",5032,2,1
"824",5035,2,1
"825",5036,2,2
"826",5040,2,1
"827",5042,2,2
"828",5046,2,2
"829",5051,2,1
"830",5052,2,1
"831",5054,2,1
"832",5056,2,1
"833",5057,2,1
"834",5060,2,1
"835",5062,2,1
"836",5066,2,1
"837",5069,2,1
"838",5070,2,1
"839",5072,2,1
"840",5074,2,2
"841",5075,2,1
"842",5077,2,1
"843",5078,2,1
"844",5079,2,1
"845",5080,2,1
"846",5087,2,2
"847",5088,2,1
"848",5090,2,1
"849",5092,2,1
"850",5096,2,1
"851",5098,2,1
"852",5100,2,1
"853",5102,2,1
"854",5103,2,1
"855",5109,2,1
"856",5110,2,1
"857",5113,2,1
"858",5115,2,1
"859",5116,2,1
"860",5120,2,1
"861",5122,2,2
"862",5124,2,2
"863",5125,2,2
"864",5128,2,2
"865",5130,2,1
"866",5131,2,1
"867",5134,2,1
"868",5135,2,1
"869",5137,2,2
"870",5138,2,1
"871",5139,2,1
"872",5140,2,1
"873",5145,2,1
"874",5152,2,1
"875",5154,2,2
"876",5155,2,1
"877",5158,2,1
"878",5159,2,1
"879",5161,2,1
"880",5164,2,1
"881",5170,2,1
"882",5172,2,1
"883",5174,2,1
"884",5178,2,1
"885",5184,2,1
"886",5185,2,2
"887",5187,2,1
"888",5188,2,2
"889",5190,2,2
"890",5192,2,1
"891",5194,2,2
"892",5196,2,1
"893",5198,2,1
"894",5200,2,1
"895",5201,2,2
"896",5202,2,1
"897",5204,2,1
"898",5206,2,1
"899",5207,2,1
"900",5216,2,1
"901",5225,2,1
"902",5226,2,1
"903",5231,2,1
"904",5233,2,1
"905",5234,2,1
"906",5236,2,1
"907",5237,2,1
"908",5241,2,1
"909",5243,2,2
"910",5244,2,2
"911",5246,2,1
"912",5247,2,1
"913",5249,2,1
"914",5253,2,2
"915",5255,2,1
"916",5259,2,1
"917",5266,2,1
"918",5271,2,2
"919",5274,2,1
"920",5275,2,1
"921",5277,2,2
"922",5279,2,1
"923",5282,2,1
"924",5283,2,1
"925",5284,2,1
"926",5286,2,1
"927",5289,2,1
"928",5291,2,1
"929",5292,2,1
"930",5294,2,1
"931",5296,2,1
"932",5300,2,1
"933",5301,1,1
"934",5302,1,1
"935",5304,1,1
"936",5307,1,1
"937",5310,1,1
"938",5313,1,1
"939",5315,1,1
"940",5316,1,1
"941",5317,1,1
"942",5318,1,1
"943",5319,1,1
"944",5320,1,1
"945",5321,1,1
"946",5323,1,1
"947",5325,1,1
"948",5326,1,1
"949",5329,1,1
"950",5334,1,1
